Epoch 1001: NMI 0.402, RI 0.622
Epoch 2001: NMI 0.463, RI 0.689
Epoch 3001: NMI 0.463, RI 0.689
Epoch 4001: NMI 0.463, RI 0.689
Epoch 5001: NMI 0.463, RI 0.689
Epoch 6001: NMI 0.463, RI 0.689
Epoch 7001: NMI 0.463, RI 0.689
Epoch 8001: NMI 0.463, RI 0.689
Epoch 9001: NMI 0.463, RI 0.689
Epoch 10001: NMI 0.463, RI 0.689
Epoch 11001: NMI 0.463, RI 0.689
Epoch 12001: NMI 0.463, RI 0.689
Epoch 13001: NMI 0.463, RI 0.689
Epoch 14001: NMI 0.463, RI 0.689
Epoch 15001: NMI 0.463, RI 0.689
Epoch 16001: NMI 0.463, RI 0.689
Epoch 17001: NMI 0.463, RI 0.689
Epoch 18001: NMI 0.463, RI 0.689
Epoch 19001: NMI 0.463, RI 0.689
Epoch 20001: NMI 0.463, RI 0.689
Epoch 21001: NMI 0.463, RI 0.689
Epoch 22001: NMI 0.463, RI 0.689
Epoch 23001: NMI 0.463, RI 0.689
Epoch 24001: NMI 0.463, RI 0.689
Epoch 25001: NMI 0.463, RI 0.689
Epoch 26001: NMI 0.463, RI 0.689
Epoch 27001: NMI 0.463, RI 0.689
Epoch 28001: NMI 0.463, RI 0.689
Epoch 29001: NMI 0.463, RI 0.689
Epoch 30001: NMI 0.463, RI 0.689
